#   ds =     0.0001
#   s             E             dE       ||Gammaod||    ||eta2B||    

0.0243000     1.4994894     -0.9955338    0.9693773     4.1331122     
0.0244000     1.4994624     -0.9945055    0.9640684     4.1559109     
0.0245000     1.4994357     -0.9920803    0.9580160     4.1766653     
0.0246000     1.4994097     -0.9880761    0.9511741     4.1947119     
0.0247000     1.4993845     -0.9823176    0.9434993     4.2093935     
0.0248000     1.4993607     -0.9746409    0.9349514     4.2200673     
0.0249000     1.4993387     -0.9648974    0.9254945     4.2261124     
0.0250000     1.4993187     -0.9529576    0.9150978     4.2269364     
0.0251000     1.4993013     -0.9387152    0.9037369     4.2219814     
0.0252000     1.4992870     -0.9220907    0.8913948     4.2107295     
0.0253000     1.4992762     -0.9030346    0.8780626     4.1927071     
0.0254000     1.4992694     -0.8815303    0.8637414     4.1674898     
0.0255000     1.4992672     -0.8575968    0.8484429     4.1347054     
0.0256000     1.4992699     -0.8312905    0.8321911     4.0940381     
0.0257000     1.4992781     -0.8027065    0.8150237     4.0452315     
0.0258000     1.4992921     -0.7719795    0.7969940     3.9880914     
0.0259000     1.4993125     -0.7392843    0.7781723     3.9224891     
0.0260000     1.4993396     -0.7048344    0.7586485     3.8483645     
0.0261000     1.4993737     -0.6688818    0.7385341     3.7657293     
0.0262000     1.4994150     -0.6317146    0.7179650     3.6746714     
0.0263000     1.4994639     -0.5936545    0.6971043     3.5753595     
0.0264000     1.4995204     -0.5550541    0.6761455     3.4680487     
0.0265000     1.4995846     -0.5162929    0.6553153     3.3530893     
0.0266000     1.4996565     -0.4777733    0.6348769     3.2309362     
0.0267000     1.4997361     -0.4399156    0.6151317     3.1021632     
0.0268000     1.4998231     -0.4031535    0.5964202     2.9674819     
0.0269000     1.4999173     -0.3679285    0.5791202     2.8277662     
0.0270000     1.5000183     -0.3346842    0.5636409     2.6840878     
0.0271000     1.5001258     -0.3038606    0.5504121     2.5377615     
0.0272000     1.5002391     -0.2758886    0.5398675     2.3904080     
0.0273000     1.5003578     -0.2511836    0.5324212     2.2440344     
0.0274000     1.5004810     -0.2301403    0.5284395     2.1011359     
0.0275000     1.5006080     -0.2131270    0.5282112     1.9648116     
0.0276000     1.5007381     -0.2004802    0.5319230     1.8388743     
0.0277000     1.5008703     -0.1924996    0.5396421     1.7279018     
0.0278000     1.5010036     -0.1894438    0.5513137     1.6371302     
0.0279000     1.5011370     -0.1915257    0.5667705     1.5720565     
0.0280000     1.5012696     -0.1989091    0.5857531     1.5376597     
0.0281000     1.5014002     -0.2117056    0.6079356     1.5373597     
0.0282000     1.5015278     -0.2299721    0.6329520     1.5721372     
0.0283000     1.5016512     -0.2537085    0.6604187     1.6403143     
0.0284000     1.5017695     -0.2828570    0.6899523     1.7381262     
0.0285000     1.5018814     -0.3173012    0.7211815     1.8607122     
0.0286000     1.5019861     -0.3568661    0.7537547     2.0030274     
0.0287000     1.5020824     -0.4013192    0.7873440     2.1604131     
0.0288000     1.5021695     -0.4503718    0.8216455     2.3288343     
0.0289000     1.5022464     -0.5036813    0.8563798     2.5049058     
0.0290000     1.5023124     -0.5608541    0.8912903     2.6858197     
0.0291000     1.5023667     -0.6214488    0.9261415     2.8692434     
0.0292000     1.5024088     -0.6849809    0.9607173     3.0532214     
0.0293000     1.5024379     -0.7509274    0.9948191     3.2360941     
0.0294000     1.5024539     -0.8187318    1.0282644     3.4164325     
0.0295000     1.5024562     -0.8878103    1.0608855     3.5929901     
0.0296000     1.5024448     -0.9575581    1.0925279     3.7646663     
0.0297000     1.5024195     -1.0273557    1.1230500     3.9304802     
0.0298000     1.5023804     -1.0965762    1.1523218     4.0895506     
0.0299000     1.5023277     -1.1645922    1.1802246     4.2410827     
0.0300000     1.5022617     -1.2307831    1.2066505     4.3843581     
0.0301000     1.5021828     -1.2945424    1.2315017     4.5187273     
0.0302000     1.5020916     -1.3552849    1.2546910     4.6436056     
0.0303000     1.5019886     -1.4124538    1.2761407     4.7584693     
0.0304000     1.5018748     -1.4655273    1.2957831     4.8628540     
0.0305000     1.5017508     -1.5140250    1.3135604     4.9563535     
0.0306000     1.5016178     -1.5575135    1.3294241     5.0386190     
0.0307000     1.5014767     -1.5956123    1.3433357     5.1093591     
0.0308000     1.5013286     -1.6279978    1.3552662     5.1683399     
0.0309000     1.5011747     -1.6544074    1.3651961     5.2153855     
0.0310000     1.5010162     -1.6746429    1.3731158     5.2503779     
0.0311000     1.5008543     -1.6885721    1.3790249     5.2732581     
0.0312000     1.5006903     -1.6961306    1.3829330     5.2840261     
0.0313000     1.5005255     -1.6973225    1.3848589     5.2827414     
0.0314000     1.5003611     -1.6922191    1.3848311     5.2695232     
0.0315000     1.5001984     -1.6809584    1.3828874     5.2445513     
0.0316000     1.5000386     -1.6637423    1.3790749     5.2080654     
0.0317000     1.4998828     -1.6408339    1.3734500     5.1603666     
0.0318000     1.4997321     -1.6125532    1.3660783     5.1018166     
